county_fips,county,community,Number of Artists,fips
53,Madison County   ,Tribal  ,3,36053
55,Monroe County   ,Rural  ,17,36055
55,Monroe County   ,Suburban  ,111,36055
55,Monroe County   ,Urban  ,261,36055
57,Montgomery County   ,Rural  ,9,36057
57,Montgomery County   ,Suburban  ,3,36057
59,Nassau County   ,Rural  ,6,36059
59,Nassau County   ,Suburban  ,289,36059
59,Nassau County   ,Urban  ,48,36059
61,New York County (Manhattan)   ,Rural  ,22,36061
61,New York County (Manhattan)   ,Suburban  ,43,36061
61,New York County (Manhattan)   ,Tribal  ,8,36061
61,New York County (Manhattan)   ,Urban  ,5232,36061
63,Niagara County   ,Rural  ,8,36063
63,Niagara County   ,Suburban  ,11,36063
63,Niagara County   ,Tribal  ,4,36063
63,Niagara County   ,Urban  ,21,36063
65,Oneida County   ,Rural  ,22,36065
65,Oneida County   ,Suburban  ,10,36065
65,Oneida County   ,Urban  ,13,36065
67,Onondaga County   ,Rural  ,17,36067
67,Onondaga County   ,Suburban  ,52,36067
67,Onondaga County   ,Tribal  ,3,36067
67,Onondaga County   ,Urban  ,110,36067
69,Ontario County   ,Rural  ,24,36069
69,Ontario County   ,Suburban  ,7,36069
69,Ontario County   ,Urban  ,1,36069
71,Orange County   ,Rural  ,43,36071
71,Orange County   ,Suburban  ,56,36071
71,Orange County   ,Urban  ,46,36071
73,Orleans County   ,Rural  ,2,36073
75,Oswego County   ,Rural  ,13,36075
75,Oswego County   ,Suburban  ,7,36075
75,Oswego County   ,Urban  ,3,36075
77,Otsego County   ,Rural  ,24,36077
77,Otsego County   ,Suburban  ,5,36077
77,Otsego County   ,Urban  ,3,36077
79,Putnam County   ,Rural  ,19,36079
79,Putnam County   ,Suburban  ,21,36079
81,Queens County   ,Rural  ,35,36081
81,Queens County   ,Suburban  ,307,36081
81,Queens County   ,Tribal  ,3,36081
81,Queens County   ,Urban  ,2418,36081
83,Rensselaer County   ,Rural  ,22,36083
83,Rensselaer County   ,Suburban  ,9,36083
83,Rensselaer County   ,Urban  ,50,36083
85,Richmond County (Staten Island)   ,Rural  ,2,36085
85,Richmond County (Staten Island)   ,Suburban  ,106,36085
85,Richmond County (Staten Island)   ,Urban  ,139,36085
87,Rockland County   ,Rural  ,7,36087
87,Rockland County   ,Suburban  ,72,36087
87,Rockland County   ,Tribal  ,2,36087
87,Rockland County   ,Urban  ,6,36087
89,St. Lawrence County   ,Rural  ,47,36089
89,St. Lawrence County   ,Suburban  ,2,36089
89,St. Lawrence County   ,Tribal  ,2,36089
89,St. Lawrence County   ,Urban  ,1,36089
91,Saratoga County  ,Rural  ,19,36091
91,Saratoga County  ,Suburban  ,47,36091
91,Saratoga County  ,Urban  ,8,36091
93,Schenectady County   ,Suburban  ,9,36093
93,Schenectady County   ,Urban  ,25,36093
95,Schoharie County   ,Rural  ,8,36095
97,Schuyler County   ,Rural  ,9,36097
97,Schuyler County   ,Suburban  ,1,36097
97,Schuyler County   ,Urban  ,2,36097
99,Seneca County   ,Rural  ,9,36099
99,Seneca County   ,Suburban  ,1,36099
99,Seneca County   ,Urban  ,1,36099
101,Steuben County   ,Rural  ,26,36101
101,Steuben County   ,Suburban  ,7,36101
101,Steuben County   ,Urban  ,3,36101
103,Suffolk County   ,Rural  ,44,36103
103,Suffolk County   ,Suburban  ,249,36103
103,Suffolk County   ,Tribal  ,7,36103
103,Suffolk County   ,Urban  ,23,36103
105,Sullivan County   ,Rural  ,33,36105
105,Sullivan County   ,Suburban  ,3,36105
105,Sullivan County   ,Urban  ,1,36105
107,Tioga County   ,Rural  ,7,36107
107,Tioga County   ,Suburban  ,2,36107
109,Tompkins County   ,Rural  ,65,36109
109,Tompkins County   ,Suburban  ,25,36109
109,Tompkins County   ,Urban  ,40,36109
111,Ulster County   ,Rural  ,203,36111
111,Ulster County   ,Suburban  ,76,36111
111,Ulster County   ,Urban  ,65,36111
113,Warren County   ,Rural  ,4,36113
113,Warren County   ,Suburban  ,10,36113
113,Warren County   ,Urban  ,3,36113
115,Washington County    ,Rural  ,9,36115
115,Washington County    ,Suburban  ,1,36115
115,Washington County    ,Urban  ,2,36115
117,Wayne County   ,Rural  ,9,36117
117,Wayne County   ,Suburban  ,2,36117
119,Westchester County    ,Rural  ,18,36119
119,Westchester County    ,Suburban  ,215,36119
119,Westchester County    ,Urban  ,146,36119
121,Wyoming County   ,Rural  ,5,36121
123,Yates County   ,Rural  ,4,36123
